-- ACTION_1 --
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # parent: androidx.test.uiautomator.UiObject2@1879ea
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.view.ViewGroup/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # hashCode: 49982456
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # description: null
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # id: com.google.android.deskclock:id/label_separator
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # text: •
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/label_separator] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # parent: androidx.test.uiautomator.UiObject2@186ae6
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.view.ViewGroup/android.widget.ImageButton
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # hashCode: 10608183
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # clickable: true
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # description: Expand alarm
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # id: com.google.android.deskclock:id/arrow
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # text: null
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/arrow] # class: android.widget.ImageButton
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # parent: androidx.test.uiautomator.UiObject2@181850
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.ImageButton
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # hashCode: 45830413
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # clickable: true
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # description: Add alarm
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # id: com.google.android.deskclock:id/fab
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # text: null
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/fab] # class: android.widget.ImageButton
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # parent: androidx.test.uiautomator.UiObject2@188caf
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.view.ViewGroup/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # hashCode: 192030555
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # description: Every day
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # id: com.google.android.deskclock:id/days_of_week
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # text: Every day
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/days_of_week] # class: android.widget.TextView
UiSelector[TEXT=Stopwatch] # parent: androidx.test.uiautomator.UiObject2@18e306
UiSelector[TEXT=Stopwatch] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.view.ViewGroup/android.widget.HorizontalScrollView/android.widget.LinearLayout/nh/android.widget.TextView
UiSelector[TEXT=Stopwatch] # numberOfChildren: 0
UiSelector[TEXT=Stopwatch] # checkable: false
UiSelector[TEXT=Stopwatch] # hashCode: 240709897
UiSelector[TEXT=Stopwatch] # clickable: false
UiSelector[TEXT=Stopwatch] # description: null
UiSelector[TEXT=Stopwatch] # id: null
UiSelector[TEXT=Stopwatch] # text: Stopwatch
UiSelector[TEXT=Stopwatch] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # parent: androidx.test.uiautomator.UiObject2@74fc
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # hashCode: 189107982
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # id: com.android.systemui:id/scrim_in_front
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # parent: androidx.test.uiautomator.UiObject2@74fc
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # hashCode: 17325359
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # id: com.android.systemui:id/scrim_behind
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # class: android.view.View
UiSelector[TEXT=Clock] # parent: androidx.test.uiautomator.UiObject2@18db84
UiSelector[TEXT=Clock] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.view.ViewGroup/android.widget.HorizontalScrollView/android.widget.LinearLayout/nh/android.widget.TextView
UiSelector[TEXT=Clock] # numberOfChildren: 0
UiSelector[TEXT=Clock] # checkable: false
UiSelector[TEXT=Clock] # hashCode: 95168211
UiSelector[TEXT=Clock] # clickable: false
UiSelector[TEXT=Clock] # description: null
UiSelector[TEXT=Clock] # id: null
UiSelector[TEXT=Clock] # text: Clock
UiSelector[TEXT=Clock] # class: android.widget.TextView
UiSelector[TEXT=Timer] # parent: androidx.test.uiautomator.UiObject2@18df45
UiSelector[TEXT=Timer] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.view.ViewGroup/android.widget.HorizontalScrollView/android.widget.LinearLayout/nh/android.widget.TextView
UiSelector[TEXT=Timer] # numberOfChildren: 0
UiSelector[TEXT=Timer] # checkable: false
UiSelector[TEXT=Timer] # hashCode: 139657744
UiSelector[TEXT=Timer] # clickable: false
UiSelector[TEXT=Timer] # description: null
UiSelector[TEXT=Timer] # id: null
UiSelector[TEXT=Timer] # text: Timer
UiSelector[TEXT=Timer] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@ffe1
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 159492290
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 12:01 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 12:01
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # parent: androidx.test.uiautomator.UiObject2@186ea7
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.view.ViewGroup/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # hashCode: 204115876
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # clickable: true
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # description: 9:00 AM
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # id: com.google.android.deskclock:id/digital_clock
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # text: 9:00 AM
UiSelector[RESOURCE_ID=com.google.android.deskclock:id/digital_clock] # class: android.widget.TextView
