-- ACTION_1 --
UiSelector[TEXT=A] # parent: androidx.test.uiautomator.UiObject2@12b394
UiSelector[TEXT=A] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ListView/android.view.ViewGroup/android.widget.TextView
UiSelector[TEXT=A] # numberOfChildren: 0
UiSelector[TEXT=A] # checkable: false
UiSelector[TEXT=A] # hashCode: 49982456
UiSelector[TEXT=A] # clickable: false
UiSelector[TEXT=A] # description: A
UiSelector[TEXT=A] # id: null
UiSelector[TEXT=A] # text: A
UiSelector[TEXT=A] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@10097
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 250673361
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 12:48 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 12:48
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # parent: androidx.test.uiautomator.UiObject2@f193
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # hashCode: 185585462
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # id: com.android.systemui:id/cutout_space_view
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # class: android.view.View
UiSelector[TEXT=Contacts] # parent: androidx.test.uiautomator.UiObject2@12cddb
UiSelector[TEXT=Contacts] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.TextView
UiSelector[TEXT=Contacts] # numberOfChildren: 0
UiSelector[TEXT=Contacts] # checkable: false
UiSelector[TEXT=Contacts] # hashCode: 45830413
UiSelector[TEXT=Contacts] # clickable: false
UiSelector[TEXT=Contacts] # description: null
UiSelector[TEXT=Contacts] # id: null
UiSelector[TEXT=Contacts] # text: Contacts
UiSelector[TEXT=Contacts] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # parent: androidx.test.uiautomator.UiObject2@129d0e
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.ImageButton
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # checkable: false
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # hashCode: 192030555
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # clickable: true
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # description: Create new contact
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # id: com.android.contacts:id/floating_action_button
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # text: null
UiSelector[RESOURCE_ID=com.android.contacts:id/floating_action_button] # class: android.widget.ImageButton
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # parent: androidx.test.uiautomator.UiObject2@12b755
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ListView/android.view.ViewGroup/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # checkable: false
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # hashCode: 10608183
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # clickable: false
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # description: Alejandro Garcia Fernandez
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # id: com.android.contacts:id/cliv_name_textview
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # text: Alejandro Garcia Fernandez
UiSelector[RESOURCE_ID=com.android.contacts:id/cliv_name_textview] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # parent: androidx.test.uiautomator.UiObject2@75b2
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # hashCode: 90486378
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # id: com.android.systemui:id/scrim_behind
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # parent: androidx.test.uiautomator.UiObject2@75b2
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # hashCode: 159492290
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # id: com.android.systemui:id/scrim_in_front
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # parent: androidx.test.uiautomator.UiObject2@12d91e
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.LinearLayoutCompat/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # checkable: false
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # hashCode: 204115876
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # clickable: true
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # description: Search contacts
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # id: com.android.contacts:id/menu_search
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # text: null
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_search] # class: android.widget.TextView
-- ACTION_2 --
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # parent: androidx.test.uiautomator.UiObject2@139892
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # checkable: false
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # hashCode: 189107982
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # clickable: false
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # description: null
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # id: com.android.contacts:id/sub_header
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # text: Events and messages
UiSelector[RESOURCE_ID=com.android.contacts:id/sub_header] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_edit] # parent: androidx.test.uiautomator.UiObject2@13a796
UiSelector[RESOURCE_ID=com.android.contacts:id/menu_edit] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.TextView
