-- ACTION_1 --
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@ffee
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 223097327
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 5:43 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 5:43
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # parent: androidx.test.uiautomator.UiObject2@1db617
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # hashCode: 15773028
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # description: null
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # id: com.google.android.calendar:id/drag_up_view
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # text: null
UiSelector[RESOURCE_ID=com.google.android.calendar:id/drag_up_view] # class: android.view.View
UiSelector[RESOURCE_ID=com.google.android.calendar:id/date_picker_text_view] # parent: androidx.test.uiautomator.UiObject2@1daad4
