-- ACTION_1 --
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@ffb0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 201438707
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 12:29 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 12:29
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # parent: androidx.test.uiautomator.UiObject2@f0ac
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # hashCode: 226443438
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # id: com.android.systemui:id/cutout_space_view
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # parent: androidx.test.uiautomator.UiObject2@dde7
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # xpath: //android.widget.FrameLayout/android.view.View
