-- ACTION_1 --
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@ffc4
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 1488242
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 12:40 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 12:40
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # parent: androidx.test.uiautomator.UiObject2@63834
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.FrameLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # hashCode: 144094910
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # description: null
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # id: com.google.android.dialer:id/header
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # text: A
UiSelector[RESOURCE_ID=com.google.android.dialer:id/header] # class: android.widget.TextView
