-- ACTION_1 --
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@ffc4
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 178745851
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 12:41 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 12:41
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # parent: androidx.test.uiautomator.UiObject2@8d0ab
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # hashCode: 244057994
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # description: null
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # id: com.google.android.dialer:id/search_box_start_search
UiSelector[RESOURCE_ID=com.google.android.dialer:id/search_box_start_search] # text: Search contacts & places
