-- ACTION_1 --
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # parent: androidx.test.uiautomator.UiObject2@b8a41
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.RelativeLayout/android.support.v7.widget.RecyclerView/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # checkable: false
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # hashCode: 21085822
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # clickable: false
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # description: App: Chess - Play and Learn
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # id: com.android.vending:id/li_title
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # text: Chess - Play and Learn
UiSelector[RESOURCE_ID=com.android.vending:id/li_title] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@115b2
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 48675799
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 3:18 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 3:18
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # parent: androidx.test.uiautomator.UiObject2@a1e20
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # checkable: false
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # hashCode: 254175995
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # clickable: false
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # description: null
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # id: com.android.vending:id/header_shadow
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # text: null
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # parent: androidx.test.uiautomator.UiObject2@a3867
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # checkable: false
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # hashCode: 75280351
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # clickable: false
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # description: null
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # id: com.android.vending:id/ia_nav_divider
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # text: null
UiSelector[RESOURCE_ID=com.android.vending:id/ia_nav_divider] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # parent: androidx.test.uiautomator.UiObject2@960e
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # hashCode: 5054294
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # id: com.android.systemui:id/deadzone
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/title] # parent: androidx.test.uiautomator.UiObject2@a43aa
UiSelector[RESOURCE_ID=com.android.vending:id/title] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.vending:id/title] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.vending:id/title] # checkable: false
UiSelector[RESOURCE_ID=com.android.vending:id/title] # hashCode: 203883564
UiSelector[RESOURCE_ID=com.android.vending:id/title] # clickable: false
UiSelector[RESOURCE_ID=com.android.vending:id/title] # description: null
UiSelector[RESOURCE_ID=com.android.vending:id/title] # id: com.android.vending:id/title
UiSelector[RESOURCE_ID=com.android.vending:id/title] # text: Games
UiSelector[RESOURCE_ID=com.android.vending:id/title] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # parent: androidx.test.uiautomator.UiObject2@f3e9
